resort_no,resort_name,atoll,atoll_code,island,rooms,beds,phone,fax,email,resort_phone,resort_fax,resort_email,operator,owner_lessee,management,state,status,join_candidates,coordinates,coordinate_count,source
1,Aanugandu Island Resort,Kaafu,K,Aanugan'du Finolhu and Aanugan'du Huraa,384.0,768.0,3339992,,shrikant@atmospherehotelsandresorts.com,4000022,4000022,info@ailafushi@colorsofoblu.com,"Promonant Pvt Ltd 
H. Aage, 6th Floor
12 Boduthakurufaanu Magu
Male', Republic of Maldives","Aqua Blue Investments Pvt Ltd 
M. Mirihimaage
3A, Kulhidhoshumagu
Male', Republic of Maldives","Atmosphere Core (BVI) Ltd 
H. Aage, 3rd Floor
12 Boduthakurufaanu Magu
Male', Republic of Maldives",Operating,Operating,Aanugan'du Finolhu|Aanugan'du Huraa,[],0,resorts.csv
2,Adaaran Club Rannalhi,Kaafu,K,Rannalhi,122.0,244.0,3323323,3315238,info@adaaran.com,6642688,6642688,reservations@adaaran.com.mv,"Jetan Travel Services Company Pvt Ltd
H. Thuniya Building (6th Floor) 
Boduthakurufaanu Magu
Male', Republic of Maldives","Jetan Travel Services Company Pvt Ltd
H. Thuniya Building (6th Floor) 
Boduthakurufaanu Magu
Male', Republic of Maldives",,Operating,Operating,Rannalhi,[],0,resorts.csv
3,Adaaran Prestige Vadoo,Kaafu,K,Vaadhoo,50.0,100.0,3323323 / 3315238,3315237,mahdy@aitkenspence.lk / info@adaaran.com,6643976,6643976,reservations@adaaran.com.mv,"Unique Resorts Pvt Ltd
H. Thuniya, 6th Floor, 
Boduthakurufaanu Magu,
Male', Republic of Maldives","Unique Resorts Pvt Ltd
H. Thuniya, 6th Floor, 
Boduthakurufaanu Magu,
Male', Republic of Maldives",-,Operating,Operating,Vaadhoo,[],0,resorts.csv
4,Adaaran Select Hudhuranfushi,Kaafu,K,Lhohifushi,202.0,404.0,"3323323
3315238",3315237,info@adaaran.com,6641930,6641930,reservations@adaaran.com.mv,"A.D.S Resorts Pvt. Ltd.
H. Thuniya, 6th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Altaf Enterprises Pvt. Ltd. 
H. No.8, Ibrahim Hassan Didi Magu, 
Male', Republic of Maldives",-,Operating,Operating,Lhohifushi,[],0,resorts.csv
5,Adaaran Select Meedhupparu,Raa,R,Meedhupparu,238.0,476.0,"332 3323
331 5238",331 5237,gm@aitkenspence.com.mv,6640375,6640375,res.mir@adaaran.com.mv,"Cowrie Investment Pvt. Ltd.
H. STO Aifaanu Building, 7th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Cowrie Investment Pvt. Ltd.
H. STO Aifaanu Building, 7th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives",-,Operating,Operating,Meedhupparu,[],0,resorts.csv
6,Alila Kothaifaru Maldives,Raa,R,Kothaifaru and Kuroshigiri,86.0,172.0,3005515,,masoodh@momentum.com.mv,7783767 / 6591234,7783767 / 6591234,kothaifaru@alilahotels.com,"Ballentine Pvt Ltd 
M. Faamudheyrige, 05th Floor
Orchid Magu
Male', Republic of Maldives","Ballentine Pvt Ltd 
M. Faamudheyrige, 05th Floor
Orchid Magu
Male', Republic of Maldives","Hyatt International South West Asia Limited 
G. Sosanee
Male', Republic of Maldives",Operating,Operating,Kothaifaru|Kuroshigiri,[],0,resorts.csv
7,Alimatha Aquatic Resort,Vaavu,V,Alimatha,156.0,312.0,3323214,3322516,"office@maleoffice.com.mv 
manager@maleoffice.com.mv",67005753323524,,alimatha@dhivehinetnet.mv,"L.A Resorts Pvt Ltd 
M.Opera Building
Chaandhanee Magu
Male', Republic of Maldives","Safari Tours Pvt. Ltd 
Opera Building, Chaandhanee Magu
Male', Republic of Maldives
safari@dhivehinet.net.mv",,Operating,Operating,Alimatha,[],0,resorts.csv
8,Ananea Madivaru Maldives,Alifu Alifu,AA,Etheremadivaru,137.0,274.0,3330617,-,"info@ananeamadivaru.com

website: www.ananeamadivaru.com",,,,"Twin Island Pvt Ltd 
M. Maaveyodhoshuge,
Maaveyo Magu, 
Male', Republic of Maldives","Twin Island Pvt Ltd 
M. Maaveyodhoshuge,
Maaveyo Magu, 
Male', Republic of Maldives",-,Operating,Operating,Etheremadivaru,[],0,resorts.csv
9,Anantara Kihavah Villas,Baa,B,Kihavah Huravalhi,89.0,178.0,0060(87)453-288,0060(87)451-288,dkoegerl@anantara.com,6644111,6644111,mailto:kihavahmaldives@anantara.com,"Minor International (Labuan) Ltd
Level 15 (A2), Main Office Tower Financial Park
Labuan, Jalan Mereedeka, 87000 FT
Malaysia","Maldives Tourism Development Corporation Plc
01st Floor, Fathuruvehi
Buruzu Magu
Republic of Maldives",,Operating,Operating,Kihavah Huravalhi,[],0,resorts.csv
10,Anantara Resort and Spa Maldives,Kaafu,K,Dhigufinolhu,113.0,226.0,7797779,3327058,shahdy@sandalawyers.com,6644100,6644100,dhigumaldives@anantara.com,"SS & L Beach Pvt Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu
Male', Republic of Maldives","SS & L Beach Pvt Ltd 
H. #02-01, Millennia Tower
10 Ameer Ahmed Magu
Male', Republic of Maldives","Minor Hotel Group (Maldives) Pvt Ltd 
Anantara Kihavah Villas
B. Kihavah Huravalhi
Republic of Maldives",Operating,Operating,Dhigufinolhu,[],0,resorts.csv
