project_no,type_of_project,atoll,atoll_code,site_label,lessee_holder,status,source_page,is_continuation,join_candidates,coordinates,coordinate_count,source,source_file
1,Resort Development,Haa Alifu,HA,Berinmadhoo,Mr. Franchin Guiseppe,Under development,1,False,Berinmadhoo,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
2,Resort Development,Haa Alifu,HA,Velifinolhu,Pearl Sands of Maldives Private Limited,Under development,1,False,Velifinolhu,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
3,Resort Hotel,Haa Alifu,HA,Plot of Land & Allocated Lagoon Area,Fedo Private Limited,Under development,1,False,,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
4,Resort Development,Haa Alifu,HA,Medhafushi,Samana IFN Holding Limited,Under development,1,False,Medhafushi,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
5,Resort Development,Haa Alifu,HA,Alidhuffarufinolhu,MMEPL-MMIPL Infrastructure Private Limited,Under development,1,False,Alidhuffarufinolhu,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
6,"Trainning Facility
Development",Haa Dhaalu,HDh,"Nolhivaranfaru Training Resort and Training
Facility",Nalaveli Maldives Pvt Ltd,Under development,1,False,Nolhivaranfaru,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
7,Resort Development,Haa Dhaalu,HDh,Naagoashi,MTDC,Under development,1,False,Naagoashi,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
8,Resort Development,Haa Dhaalu,HDh,Vaikuramuraidhoo,Glamour Investments Ltd,Under development,1,False,Vaikuramuraidhoo,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
9,Resort Development,Shaviyani,Sh,Hurasfaru,Hurasfaru Holdings Private Limited,Under development,1,False,Hurasfaru,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
10,Resort Development,Shaviyani,Sh,Naainfaru,Naainfaru Holdings Private Limited,Under development,1,False,Naainfaru,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
11,Resort Development,Shaviyani,Sh,Dholhiyadhoo,Mohamed Latheef,Under development,1,False,Dholhiyadhoo,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
12,Resort Development,Shaviyani,Sh,Kanbaalifaru,Kanbaalifaru Development Private Limited,Under development,1,False,Kanbaalifaru,[],0,Ministry of Tourism under development PDF,new_dev_List_07_April_2025.pdf
